Logo,Format,Color,Type,Link
Artificial Intelligence,pdf,White,Left align,https://drive.google.com/file/d/1hnQWQpZPa5HtmmykjZW486uY9QfphIwH/view?usp=drive_link
Artificial Intelligence,pdf,White,Vertical,https://drive.google.com/file/d/1Kla5Dnk8hWN51HmlySnvBC_JjWKMaQP3/view?usp=drive_link
Artificial Intelligence,pdf,Colored,Emblem,https://drive.google.com/file/d/16-WhXUo4HxomTaMFggjBnGih2WKmLB6Y/view?usp=drive_link
Artificial Intelligence,pdf,Colored,Right align,https://drive.google.com/file/d/1Gwpi0uUT5lUkMuL8WNDirOXEnQ_ePj0n/view?usp=drive_link
Artificial Intelligence,pdf,Colored,Left align,https://drive.google.com/file/d/1HlC47BWoL9Vk4sHUclmFWtF9SzZFPbLk/view?usp=drive_link
Artificial Intelligence,pdf,Colored,Vertical,https://drive.google.com/file/d/1swlJl7_C5ebhDA1HX6dqg3y5IbKoFaW4/view?usp=drive_link
Artificial Intelligence,svg,Black,Emblem,https://drive.google.com/file/d/1LYGHsEOIrOyOYgEHS7AyNuP82HoThBKP/view?usp=drive_link
Artificial Intelligence,svg,Black,Right align,https://drive.google.com/file/d/1_cG3xMOkISIAaymuGIYKcRbhe3zIp60j/view?usp=drive_link
Artificial Intelligence,svg,Black,Left align,https://drive.google.com/file/d/1uKL-zED9FZlNURR5rforkn-c55KGLQ2R/view?usp=drive_link
Artificial Intelligence,svg,Black,Vertical,https://drive.google.com/file/d/1ZyZY1pQ4S5umMuMWKBdpTLjq8mhemtdc/view?usp=drive_link
Artificial Intelligence,svg,White,Emblem,https://drive.google.com/file/d/1LlEK6500ApgChcznFvMxhYqX3VVB6cAR/view?usp=drive_link
Artificial Intelligence,svg,White,Right align,https://drive.google.com/file/d/1uWqg78hI-SV2mW1vy3KKaATT15V4Dqfv/view?usp=drive_link
Artificial Intelligence,svg,White,Left align,https://drive.google.com/file/d/1s9F71TmngnGLkHECZ7a4bZ0wkn9ne0b4/view?usp=drive_link
Artificial Intelligence,svg,White,Vertical,https://drive.google.com/file/d/1bSVt4baMsiGKlg9t3azJorRBMGsz_KST/view?usp=drive_link
Artificial Intelligence,svg,Colored,Emblem,https://drive.google.com/file/d/1M7g5W3PdYJTqxex48ugEGqyc3wy9zXiz/view?usp=drive_link
Artificial Intelligence,svg,Colored,Right align,https://drive.google.com/file/d/1NaNSTKRwjEoh3Y80laEzk-Ej8unVvLTu/view?usp=drive_link
Artificial Intelligence,svg,Colored,Left align,https://drive.google.com/file/d/1Ef3UShEdfDcKzvTH1ibbbaDemqzftjT0/view?usp=drive_link
Artificial Intelligence,svg,Colored,Vertical,https://drive.google.com/file/d/1Z8KMgnAl2fuT7eAQjeAi-wcU9B5JNhAB/view?usp=drive_link
Crime Scene Department,png,Black,Emblem,https://drive.google.com/file/d/1U77t8uDAPOJ6X3__ESMalE12JEJwLvL-/view?usp=drive_link
Crime Scene Department,pdf,White,Vertical,https://drive.google.com/file/d/1oLFe6kH0VlFShzuy_lYffumzR22EMf3V/view?usp=drive_link
Crime Scene Department,pdf,Black,Emblem,https://drive.google.com/file/d/1tsQY1Br_kIf_DF_vCBr4yOaTsDy0nGWd/view?usp=drive_link
Crime Scene Department,pdf,White,Vertical,https://drive.google.com/file/d/1ISugPjXHHk1M65W-1Ur29gZPF1KFz5KZ/view?usp=drive_link
Crime Scene Department,svg,Black,Emblem,https://drive.google.com/file/d/1F2-YFP1eOa5ddCWL6OhTDuzi_M50VtPW/view?usp=drive_link
Crime Scene Department,svg,White,Vertical,https://drive.google.com/file/d/1veUv3cPiLC8ehhhAxmlTc8BYCIiiR0TV/view?usp=drive_link
DPDS,png,Black,Emblem,https://drive.google.com/file/d/1Dn9UQKrdQIv3zOqAY5Pa0RTj6E5U3nht/view?usp=drive_link
DPDS,png,Black,Right align,https://drive.google.com/file/d/1akgHLxI9SBuL-j9_btLknM8MLb6IzsNR/view?usp=drive_link
DPDS,png,Black,Left align,https://drive.google.com/file/d/1rrkdNJ2xbl1XpxdQyMdsSquNGzIQImOO/view?usp=drive_link
DPDS,png,Black,Vertical,https://drive.google.com/file/d/1lHNbghujxIZ8DsC745qE6gKm8fW9Cwsy/view?usp=drive_link
DPDS,png,White,Emblem,https://drive.google.com/file/d/1iYdGRY3Z_d_4RDIEA5EHj9OI5K9rNCyF/view?usp=drive_link
DPDS,png,White,Right align,https://drive.google.com/file/d/1ErgAvbikepFp9EsTd7qqUUu6z81X2kHj/view?usp=drive_link
DPDS,png,White,Left align,https://drive.google.com/file/d/19uckd_z5Wru_myBvYLb06Ner8K0gq2AL/view?usp=drive_link
DPDS,png,White,Vertical,https://drive.google.com/file/d/1oDigbrwG8wlbfxoige8DpiMTCKVXnvCS/view?usp=drive_link
DPDS,png,Colored,Emblem,https://drive.google.com/file/d/1oTEfcp9AXc1gFaspezpc6Nl8y4o24uYD/view?usp=drive_link
DPDS,png,Colored,Right align,https://drive.google.com/file/d/1lot2g_BN5YkrujgxlWV7XhO71GGi1n6x/view?usp=drive_link
DPDS,png,Colored,Left align,https://drive.google.com/file/d/1n1ZxUfZqeeOsPxPvIaldF9i1rea674hl/view?usp=drive_link
DPDS,png,Colored,Vertical,https://drive.google.com/file/d/13nukoplcxMdxdZIV_QLPNa5z2131AoCj/view?usp=drive_link
DPDS,pdf,Black,Emblem,https://drive.google.com/file/d/1JFmFoie82Q17INZM0i8J5bMtkQ-vJ7fe/view?usp=drive_link
DPDS,pdf,Black,Right align,https://drive.google.com/file/d/1AI6rj62_bVGA9rO282T5srAqcs3-GzDI/view?usp=drive_link
DPDS,pdf,Black,Left align,https://drive.google.com/file/d/1uqY0uzMlVu11r5lgOvY6r7QXiS155bwj/view?usp=drive_link
DPDS,pdf,Black,Vertical,https://drive.google.com/file/d/1dMchNL-I2VccxNDVykoG_PRAssKUJbR-/view?usp=drive_link
DPDS,pdf,White,Emblem,https://drive.google.com/file/d/1NtMbXC2Cm0hiJD4tLQ_yU2s_OXOG6nfW/view?usp=drive_link
DPDS,pdf,White,Right align,https://drive.google.com/file/d/1CDV24nOavabTsjuzjxJ2xf7bDUxE5815/view?usp=drive_link
DPDS,pdf,White,Left align,https://drive.google.com/file/d/133MGKDlLi01E4eHsSwBBwM2ubM0E-2re/view?usp=drive_link
DPDS,pdf,White,Vertical,https://drive.google.com/file/d/1TEaLjsRxNKO-XQ3JYmAb9OUGMS2aFR4s/view?usp=drive_link
DPDS,pdf,Colored,Emblem,https://drive.google.com/file/d/10Mbj5tYwQ2u8O5R0V7kMxmuY_RQ33V7v/view?usp=drive_link
DPDS,pdf,Colored,Right align,https://drive.google.com/file/d/1hGOv1-cXrtfT6WOI1Kw1iR8lE4XE5WLR/view?usp=drive_link
DPDS,pdf,Colored,Left align,https://drive.google.com/file/d/1V8ypW4LFLRDrTjHMy9vSmrQtyCHOBqlC/view?usp=drive_link
DPDS,pdf,Colored,Vertical,https://drive.google.com/file/d/1a8jsbB8judH5MCkFM55_GElkKOYHO1rr/view?usp=drive_link
DPDS,svg,Black,Emblem,https://drive.google.com/file/d/1qVQ50zf9O2JP3HgWyKX_dHx3C1Z6XxY5/view?usp=drive_link
DPDS,svg,Black,Right align,https://drive.google.com/file/d/1CorlL6KMx6t2ffmpIn8e3CgfjS_VHxHY/view?usp=drive_link
DPDS,svg,Black,Left align,https://drive.google.com/file/d/1gEZ_qTot2QQ4Hbmj0ek4iESGl3bxw97F/view?usp=drive_link
DPDS,svg,Black,Vertical,https://drive.google.com/file/d/16ltvEdXPWEWpzV2I3_FtThIGpwdx9BmG/view?usp=drive_link
DPDS,svg,White,Emblem,https://drive.google.com/file/d/1RHY8S1cBuVqvWm1HfaKyPl1OcujBHfN_/view?usp=drive_link
DPDS,svg,White,Right align,https://drive.google.com/file/d/1qogqQjsYi0p3csLAkdK0OItT5NSYIAI8/view?usp=drive_link
DPDS,svg,White,Left align,https://drive.google.com/file/d/1x5HxFPe3q5uUzYSXrH2eXjxwauET4zc9/view?usp=drive_link
DPDS,svg,White,Vertical,https://drive.google.com/file/d/19vCZc3DECa3SgKxPq8AzM2SP0cDxU05y/view?usp=drive_link
DPDS,svg,Colored,Emblem,https://drive.google.com/file/d/1dnFUvcRCbe5H8dRabc0UEZh8pE0wnw_N/view?usp=drive_link
DPDS,svg,Colored,Right align,https://drive.google.com/file/d/1bhlvzhHkNib6mxgI1Sp0l04d7ELal77G/view?usp=drive_link
DPDS,svg,Colored,Left align,https://drive.google.com/file/d/1dCIBFNFD7fim2DirJitZPcS4jdHL6Aby/view?usp=drive_link
DPDS,svg,Colored,Vertical,https://drive.google.com/file/d/1byG921QX-J_GHUrl9tliuyZYplkyHhW6/view?usp=drive_link
Dubai Mounted Police,png,Black,Emblem,https://drive.google.com/file/d/1gE-al4egoY8UUtStoAP24lzr0c9cdc8B/view?usp=drive_link
Dubai Mounted Police,png,Black,Right align,https://drive.google.com/file/d/1bZXZZdnzS-PpqUDqyviM0TKD6pB7MY5n/view?usp=drive_link
Dubai Mounted Police,png,Black,Left align,https://drive.google.com/file/d/1o2oMtVd5Tm6oSrkMQlwhzTgPDQz4ybx2/view?usp=drive_link
Dubai Mounted Police,png,Black,Vertical,https://drive.google.com/file/d/1dGLr527Do4iC5xONcnlA6Wkrq4V8mAt3/view?usp=drive_link
Dubai Mounted Police,png,White,Emblem,https://drive.google.com/file/d/1Py2qsXQYLSgqDxSvk31F6xdlu_oEhQwZ/view?usp=drive_link
Dubai Mounted Police,png,White,Right align,https://drive.google.com/file/d/1Nq9fFtKMWzMIHAWwCcpXVI_tS5WcdLxL/view?usp=drive_link
Dubai Mounted Police,png,White,Left align,https://drive.google.com/file/d/1-UV3cmNVvxVs5us3SzGEjB9HO-tBSniW/view?usp=drive_link
Dubai Mounted Police,png,White,Vertical,https://drive.google.com/file/d/1jzXdGznBCXZkfqUutzegeEixNcS421j7/view?usp=drive_link
Dubai Mounted Police,png,Colored,Emblem,https://drive.google.com/file/d/1ROCBpcLsqzExEI9kueRx1GD5IbXxNDd9/view?usp=drive_link
Dubai Mounted Police,png,Colored,Right align,https://drive.google.com/file/d/1Xo0M6Ej6IP88JoS9XFrc2FSYLqLusC0p/view?usp=drive_link
Dubai Mounted Police,png,Colored,Left align,https://drive.google.com/file/d/1PJLLvdQ_Jq_y8Q4zl9BTC-tMJUzPGG-O/view?usp=drive_link
Dubai Mounted Police,png,Colored,Vertical,https://drive.google.com/file/d/1oaswg7q1VKO1bzm5qMRbtkK4l9yoUEgL/view?usp=drive_link
Dubai Mounted Police,pdf,Black,Emblem,https://drive.google.com/file/d/1jKPIjcG_F6R1czuMxiYBDFpECQ9r8rwS/view?usp=drive_link
Dubai Mounted Police,pdf,Black,Right align,https://drive.google.com/file/d/1OAaFlSmIsgjT-F7lGbRNZ9Bzs5YJIoYz/view?usp=drive_link
Dubai Mounted Police,pdf,Black,Left align,https://drive.google.com/file/d/1-cER-8YVdeX7YsA3kXDc7Zysm5s8rBOs/view?usp=drive_link
Dubai Mounted Police,pdf,Black,Vertical,https://drive.google.com/file/d/1g2O7AuKX8yKXuXACXFdm8RbXRicM0W5W/view?usp=drive_link
Dubai Mounted Police,pdf,White,Emblem,https://drive.google.com/file/d/16X1gLgZpFDaWTActDQb5B7LsmiF22ntM/view?usp=drive_link
Dubai Mounted Police,pdf,White,Right align,https://drive.google.com/file/d/12pE5UmWP6o7v_tIQARD0NeHcFTEcYLD0/view?usp=drive_link
Dubai Mounted Police,pdf,White,Left align,https://drive.google.com/file/d/1roRlaAvOgn6Enbz-6Aiw5uZBQCsrM1YB/view?usp=drive_link
Dubai Mounted Police,pdf,White,Vertical,https://drive.google.com/file/d/1JMn5vtIn7UPrg4DepZSI3pOBFZXZWAca/view?usp=drive_link
Dubai Mounted Police,pdf,Colored,Emblem,https://drive.google.com/file/d/1LJzAiqx4jgElcWca8EWnurznXtx_aW7L/view?usp=drive_link
Dubai Mounted Police,pdf,Colored,Right align,https://drive.google.com/file/d/1VSb--6i8Tw8YJNJQxOgihM6fSBultipU/view?usp=drive_link
Dubai Mounted Police,pdf,Colored,Left align,https://drive.google.com/file/d/17R6gPhCB3WhatbmBuAbe6dVoKyzaSz7i/view?usp=drive_link
Dubai Mounted Police,pdf,Colored,Vertical,https://drive.google.com/file/d/17Vra8ARVtyz4nzeSGkSc28wHqBj5Gxpn/view?usp=drive_link
Dubai Mounted Police,svg,Black,Emblem,https://drive.google.com/file/d/1LNnvvAzTZPKXBqKSrOyB28etTrU1n-7Q/view?usp=drive_link
Dubai Mounted Police,svg,Black,Right align,https://drive.google.com/file/d/1itceIjxAiVOZ1cblf-2UWSykFGZ98QRt/view?usp=drive_link
Dubai Mounted Police,svg,Black,Left align,https://drive.google.com/file/d/1YKsOjiqSq9GwruwCulC07rIFhwjRMt4G/view?usp=drive_link
Dubai Mounted Police,svg,Black,Vertical,https://drive.google.com/file/d/1aV4yG7gzwP-J7D4Ywj08OWKQOixOdnbw/view?usp=drive_link
Dubai Mounted Police,svg,White,Emblem,https://drive.google.com/file/d/1YoWFJUz2sYNJYkU8vJ2mGyp5EjEtIf2D/view?usp=drive_link
Dubai Mounted Police,svg,White,Right align,https://drive.google.com/file/d/1DH3CMcO2ENmSeUK8CD6Y2eObzxZwY98u/view?usp=drive_link
Dubai Mounted Police,svg,White,Left align,https://drive.google.com/file/d/1emVY7ikazvrmj98IA-hmq0_9sCx7DtTT/view?usp=drive_link
Dubai Mounted Police,svg,White,Vertical,https://drive.google.com/file/d/1LBnHZJxXBEA9ksZ4Ym2zKY8uf7qcggNM/view?usp=drive_link
Dubai Mounted Police,svg,Colored,Emblem,https://drive.google.com/file/d/1oWAmPPnQv-PrrmXRpD76TP1GHOlGd0p9/view?usp=drive_link
Dubai Mounted Police,svg,Colored,Right align,https://drive.google.com/file/d/1NYpB5NrAevu-A-zng3Gru4rcnRm2uSsd/view?usp=drive_link
Dubai Mounted Police,svg,Colored,Left align,https://drive.google.com/file/d/1hen2HrJM1xp2RuKOKn8NG7PyY5yEefl-/view?usp=drive_link
Dubai Mounted Police,svg,Colored,Vertical,https://drive.google.com/file/d/1erRQPIxFujYjyJYL8FYanPMiTxFlmg8n/view?usp=drive_link
Dubai Police,png,Black,Emblem,https://drive.google.com/file/d/1CrOvJKj07OSqFNs4hQhrbdQHJnOkmb-a/view?usp=drive_link
Dubai Police,png,Black,Right align,https://drive.google.com/file/d/1Vxc3ZekdieN_ISrvxrsgdAOAxADBpV7H/view?usp=drive_link
Dubai Police,png,Black,Vertical,https://drive.google.com/file/d/13aDZehi8sUZlpVM6mW_Sc_gpve1Vkknd/view?usp=drive_link
Dubai Police,png,White,Emblem,https://drive.google.com/file/d/1dcL4VOJf4wBSQeBYYWmUwpaOFq4P9LiN/view?usp=drive_link
Dubai Police,png,White,Right align,https://drive.google.com/file/d/1C5yWanVT65w3ABfiJs_XA-2sltk8xvxv/view?usp=drive_link
Dubai Police,png,White,Vertical,https://drive.google.com/file/d/1QDv8yS83FkXr_bgqAXoV9lKnv2yMlH9n/view?usp=drive_link
Dubai Police,png,Colored,Emblem,https://drive.google.com/file/d/1YBTYN8XCR8lOWVok82KW4zhy8dgcXZ8w/view?usp=drive_link
Dubai Police,png,Colored,Right align,https://drive.google.com/file/d/1dJG6x_f9MgTgXpIJfzUV269dneFAYEmx/view?usp=drive_link
Dubai Police,png,Colored,Vertical,https://drive.google.com/file/d/1wqJW0eNJldVnFjnMYY0DnaRcXD6reWFo/view?usp=drive_link
Dubai Police,pdf,Black,Emblem,https://drive.google.com/file/d/1AaebFqTMgzTl4pptjW-RBoJaKLAhwLlM/view?usp=drive_link
Dubai Police,pdf,Black,Right align,https://drive.google.com/file/d/1AK9at-YfNPZEcozldSTdcIwOBXW93Dpe/view?usp=drive_link
Dubai Police,pdf,Black,Vertical,https://drive.google.com/file/d/1poEkiRRIN400v7emmKbszcjJB_5VuToY/view?usp=drive_link 
