Number,Date,Sub-Channels,Comments,Sentiment,Sentan
30,19/02/2024,Certificate of Loss,Helpful,Happy,5
31,19/02/2024,Police Clearance Certificate,Good Service,Happy,4
32,19/02/2024,Traffic Accident Report-  without Injuries,Easy Steps and Simple. Thank you very much.,Happy,5
33,19/02/2024,night work permit,Happy,Happy,5
34,19/02/2024,Traffic Accident Report-  without Injuries,Thank you,Happy,5
35,19/02/2024,Certificate of To Whom It May Concern,Everything is easy and fast.,Happy,5
36,19/02/2024,Police Clearance Certificate,Helpful and Easy,Happy,5
37,19/02/2024,Traffic Accident Report-  without Injuries,No Remarks,Happy,1
38,19/02/2024,Certificate of Loss,Good,Happy,4
39,19/02/2024,Police Clearance Certificate,.,Neutral,3
40,19/02/2024,Police Clearance Certificate,Thank you,Happy,5
41,19/02/2024,night work permit,Good,Happy,4
42,19/02/2024,Police Clearance Certificate,Good,Happy,4
43,19/02/2024,Police Clearance Certificate,Vry Good App,Happy,4
44,19/02/2024,Certificate of Loss,Good,Happy,4
45,19/02/2024,Certificate of To Whom It May Concern,Thank you,Happy,5
46,19/02/2024,Police Clearance Certificate,A,Neutral,4
47,19/02/2024,Certificate of To Whom It May Concern,Thank U,Happy,5
48,19/02/2024,Police Clearance Certificate,Easy to use,Happy,5
49,19/02/2024,Certificate of Loss,Good,Happy,4
50,19/02/2024,Certificate of Loss,All the best for you,Happy,5
51,19/02/2024,Police Clearance Certificate,Thanks,Happy,5
52,19/02/2024,night work permit,Good,Happy,4
53,19/02/2024,Certificate of To Whom It May Concern,Thank you all,Happy,5
54,19/02/2024,Police Clearance Certificate,Amazing App,Happy,5
55,19/02/2024,night work permit,Helpful,Happy,5
56,19/02/2024,night work permit,Excellent,Happy,5
57,19/02/2024,Certificate of Loss,Thank you Dubai Police,Happy,5
58,19/02/2024,Certificate of To Whom It May Concern,IT Grate App,Happy,5
59,19/02/2024,Certificate of To Whom It May Concern,"May God extend your age, the agent is the first Amen",Happy,1
60,19/02/2024,Certificate of To Whom It May Concern,"Thank you, the agent, the first secretary for the service and assistance",Happy,5
61,19/02/2024,Police Clearance Certificate,"Friendly Staff at Police Department, Easy Online Service.",Happy,4
62,19/02/2024,Detainee Visit,Thanks,Neutral,5
63,19/02/2024,Police Clearance Certificate,Good,Happy,4
64,19/02/2024,Request for payment by instalment method of the amount of traffic violations,Thank you very much for this even,Happy,5
65,19/02/2024,Certificate of Loss,Thank you for your Smart Services,Happy,5
66,19/02/2024,Police Clearance Certificate,Thanks,Happy,5
67,19/02/2024,Police Clearance Certificate,Will Give More Feedback on the Certification is Delivered,Happy,4
68,19/02/2024,Certificate of Loss,Nice,Happy,4
69,19/02/2024,Certificate of Loss,Na,Happy,3
70,19/02/2024,Police Clearance Certificate,Good,Happy,4
71,19/02/2024,Police Clearance Certificate,"User Friendly, Fast Service",Happy,5
72,19/02/2024,Certificate of Loss,Excellent,Happy,5
73,19/02/2024,Certificate of Loss,Thanks,Happy,5
74,19/02/2024,Police Clearance Certificate,Good,Happy,4
75,19/02/2024,Certificate of To Whom It May Concern,Yes,Neutral,5
76,19/02/2024,Police Clearance Certificate,We Need It,Neutral,5
77,19/02/2024,Traffic Accident Report - Unkown Party,Great,Happy,5
78,19/02/2024,Police Clearance Certificate,Thanks,Happy,5
79,19/02/2024,Certificate of To Whom It May Concern,Good Service,Happy,4
80,19/02/2024,Certificate of To Whom It May Concern,Thank you for Nice Smart Services,Happy,5
81,19/02/2024,Police Clearance Certificate,Friendly,Neutral,4
82,19/02/2024,Certificate of To Whom It May Concern,Review Information and the Final Certificate to Avoid Mistakes,Neutral,4
83,19/02/2024,Police Clearance Certificate,Thanks,Happy,5
84,19/02/2024,Certificate of To Whom It May Concern,Nice Service,Happy,4
85,19/02/2024,night work permit,Couelfnt Add People with Mission Visa and Some of the Ids Are Not RCOGNISED.,Unhappy,3
86,19/02/2024,Police Clearance Certificate,RealLY weyk you,Happy,2
87,19/02/2024,Police Clearance Certificate,Vry Good,Happy,4
88,19/02/2024,Police Clearance Certificate,User Friendly,Happy,5
89,19/02/2024,Police Clearance Certificate,Quick Service,Happy,5
90,19/02/2024,Traffic Accident Report-  without Injuries,Vry Good,Happy,4
91,19/02/2024,Police Clearance Certificate,I love your swift Digital Application Tool. Verry Satisfactory,Happy,5
92,19/02/2024,Police Clearance Certificate,Its So Simple and Humble Process So Nice Think You,Happy,5
93,19/02/2024,Police Clearance Certificate,I just love,Happy,5
94,19/02/2024,detainee visit request,Can you Give More Second to Give A Glimpse to the Inmate Especially with Those Have Kids.,Happy,3
95,19/02/2024,Certificate of To Whom It May Concern,Thank you,Happy,5
96,19/02/2024,Police Clearance Certificate,Good Job The Website is Easy Access and User Friendly.,Happy,4
97,19/02/2024,Police Clearance Certificate,Na,Happy,3
98,18/02/2024,detainee visit request,It s Takes long time to connect on Call,Neutral,4
99,18/02/2024,Police Clearance Certificate,Thanks,Neutral,5
100,18/02/2024,Police Clearance Certificate,Thank you so much,Happy,5
101,18/02/2024,Police Clearance Certificate,Fast and Efficience,Happy,5
102,18/02/2024,Police Clearance Certificate,Good Services,Happy,4
103,18/02/2024,Certificate of Loss,No More Comment,Happy,1
104,18/02/2024,Certificate of Loss,No More Comment,Happy,1
105,18/02/2024,Police Clearance Certificate,Good,Happy,4
106,18/02/2024,Certificate of Loss,Thanks,Happy,5
107,18/02/2024,Police Clearance Certificate,Thank you all,Happy,5
108,18/02/2024,Police Clearance Certificate,Thank you,Happy,5
109,18/02/2024,Certificate of Loss,Good,Happy,4
110,18/02/2024,Police Clearance Certificate,Vry Good,Happy,4
111,18/02/2024,Police Clearance Certificate,Thank you,Happy,5
112,18/02/2024,Certificate of Loss,Thanks,Happy,5
113,18/02/2024,Police Clearance Certificate,Thank you,Happy,5
114,18/02/2024,Certificate of To Whom It May Concern,Verry Difficult to Use,Unhappy,2
115,18/02/2024,traffic status certificate,All is good,Happy,5
116,18/02/2024,Certificate of To Whom It May Concern,Perfect,Happy,5
117,18/02/2024,Traffic Accident Report-  without Injuries,Good,Happy,4
118,18/02/2024,Police Clearance Certificate,"Thank you, Dubai Police, and all the respect and appreciation.",Happy,5
119,18/02/2024,detainee visit request,IMMEDIAITW Support and Nice to Access,Happy,5
120,18/02/2024,Traffic Accident Report - Unkown Party,Vry Convenient,Happy,4
121,18/02/2024,Police Clearance Certificate,Verry Impressive,Happy,5
122,18/02/2024,Police Clearance Certificate,Nil,Happy,1
123,18/02/2024,Police Clearance Certificate,"Easy, Friendly, Well Designed to Meet the Needs",Happy,5
124,18/02/2024,Certificate of To Whom It May Concern,Ok,Happy,3
125,18/02/2024,detainee visit request,Nice App,Happy,4
126,18/02/2024,Police Clearance Certificate,Excellent Service,Happy,5
127,18/02/2024,night work permit,Good Service,Happy,4
128,18/02/2024,Police Clearance Certificate,Smooth Acessing,Happy,5
129,18/02/2024,Certificate of To Whom It May Concern,Thanks Dubai Bringing Twc,Happy,5
130,18/02/2024,night work permit,Vry Convenient,Happy,4
131,18/02/2024,Police Clearance Certificate,Happy,Happy,5
132,18/02/2024,Certificate of To Whom It May Concern,Good,Happy,4
133,18/02/2024,Police Clearance Certificate,Excellent Service,Happy,5
134,18/02/2024,Certificate of To Whom It May Concern,Everything is very clear and easy,Happy,5
135,18/02/2024,Traffic Accident Report-  without Injuries,Good,Happy,4
136,18/02/2024,Certificate of Loss,Thanks,Happy,5
137,18/02/2024,Traffic Accident Report-  without Injuries,Good Service,Happy,4
138,18/02/2024,Police Clearance Certificate,"Good, Clearancy Service",Happy,4
139,18/02/2024,Certificate of Loss,Thanks,Happy,5
140,18/02/2024,Police Clearance Certificate,Thanks,Happy,5
141,18/02/2024,Police Clearance Certificate,"Thanks Dubai Kings and Management I love dubai",Happy,5
142,18/02/2024,Certificate of To Whom It May Concern,Goovernment Is Best.,Happy,4
143,18/02/2024,Police Clearance Certificate,We DIDN T Receive otp,Unhappy,1
144,18/02/2024,Police Clearance Certificate,Appreciated the Service,Happy,4
145,18/02/2024,detainee visit request,Can I show this here in Abu Dhabi,Happy,5
146,18/02/2024,Police Clearance Certificate,Apple Pay Wold Help,Neutral,1
147,18/02/2024,Police Clearance Certificate,Keep it up,Happy,4
148,18/02/2024,Police Clearance Certificate,Vry Time Effective and User Friendly,Happy,5
149,18/02/2024,Bounced Cheque Report,It was completed,Happy,4
150,18/02/2024,Police Clearance Certificate,Fast and Easy Way to Connect as well as find what you will.,Happy,5
151,18/02/2024,Police Clearance Certificate,.,Happy,3
152,17/02/2024,Police Clearance Certificate,Highly satfied,Happy,5
153,17/02/2024,Police Clearance Certificate,IM Happy With The Service,Happy,5
154,17/02/2024,Police Clearance Certificate,Quick,Happy,5
155,17/02/2024,Police Clearance Certificate,Good Services,Happy,4
156,17/02/2024,Certificate of Loss,Excellent,Happy,5
157,17/02/2024,Police Clearance Certificate,Verry Friendly and Excellent Service,Happy,5
158,17/02/2024,Certificate of To Whom It May Concern,PLS MAKE It Detail when U Mean by request by,Neutral,4
159,17/02/2024,Certificate of To Whom It May Concern,Vry Good,Happy,4
160,17/02/2024,Certificate of Loss,5 Star,Happy,5
161,17/02/2024,Police Clearance Certificate,Good,Happy,4
162,17/02/2024,Police Clearance Certificate,Excellent,Happy,5
163,17/02/2024,Certificate of Loss,Excellent,Unhappy,5
164,17/02/2024,Police Clearance Certificate,Excellent,Happy,5
165,17/02/2024,night work permit,Great Service,Happy,5
166,17/02/2024,Certificate of To Whom It May Concern,Easy to Access The Service,Happy,5
167,17/02/2024,Police Clearance Certificate,Good,Happy,4
168,17/02/2024,Police Clearance Certificate,Dubai Goovernment Very Good and Smart Fast Service,Happy,5
169,17/02/2024,Police Clearance Certificate,Excellent,Happy,5
170,17/02/2024,Traffic Accident Report-  without Injuries,Thanks,Happy,5
171,17/02/2024,night work permit,Happy,Happy,5
172,17/02/2024,Police Clearance Certificate,Not Able to Make Payment with My Master Card.,Unhappy,1
173,17/02/2024,night work permit,Thanks,Happy,5
174,17/02/2024,Police Clearance Certificate,Thanks,Happy,5
175,17/02/2024,Police Clearance Certificate,Thank you Dubai Police for Serving Me at this Moment,Happy,5
176,17/02/2024,night work permit,Easy Excel,Happy,5
177,17/02/2024,Police Clearance Certificate,Its easy and Fast Process. Thanks,Happy,5
178,17/02/2024,Certificate of To Whom It May Concern,Vry Good Service,Happy,4
179,17/02/2024,Traffic Accident Report-  without Injuries,Thank U,Happy,5
180,17/02/2024,Certificate of To Whom It May Concern,Brilliant Service. Helpful Staff. Thank you.,Happy,5
181,17/02/2024,Police Clearance Certificate,Live you,Happy,5
182,17/02/2024,night work permit,Easy to use,Happy,5
183,17/02/2024,Certificate of Loss,Good,Happy,4
184,17/02/2024,Police Clearance Certificate,nice,Happy,4
185,17/02/2024,night work permit,Excellent Services,Happy,5
186,17/02/2024,Police Clearance Certificate,Why transaction is like this is different,Neutral,3
187,17/02/2024,Traffic Accident Report - Unkown Party,Service Very Excellent,Happy,5
188,17/02/2024,Certificate of Loss,Lost My Bad Including Laptop Charger Harddisk Wallet Eid Lessing Atm Cards 3000aed Cash Etc Please Help Me Find it Thaankyou,Happy,1
189,17/02/2024,Traffic Accident Report-  without Injuries,Thanks,Happy,5
190,17/02/2024,Police Clearance Certificate,Vry Happy,Happy,5
191,17/02/2024,Police Clearance Certificate,No sex,Happy,1
192,17/02/2024,Police Clearance Certificate,Please contact me on this number if any think as I am trying first time by myself. Before only Pro,Happy,1
193,17/02/2024,Traffic Accident Report-  without Injuries,Thank you for your efforts,Happy,5
194,17/02/2024,night work permit,Easy,Happy,5
195,17/02/2024,night work permit,Best Ever,Happy,5
196,17/02/2024,Traffic Accident Report-  without Injuries,Thanks,Happy,5
197,17/02/2024,Police Clearance Certificate,Nil,Happy,1
198,17/02/2024,Certificate of To Whom It May Concern,Vry Convenient .. Thank You,Happy,5
199,17/02/2024,Certificate of To Whom It May Concern,Fjfugugfsrhjkhj,Unhappy,1
200,17/02/2024,Police Clearance Certificate,Amazing,Happy,5
201,17/02/2024,night work permit,Good work,Happy,4
202,17/02/2024,Police Clearance Certificate,Thanks,Happy,5
203,17/02/2024,Certificate of To Whom It May Concern,Fantastic Services,Happy,5
204,17/02/2024,Certificate of To Whom It May Concern,Its good and easy to use Access.,Happy,4
205,17/02/2024,Certificate of To Whom It May Concern,"I am Happy With Overall Service But I Will Have to See the Resporese on My Quey, Since Its Only Online Claim for Damages It Was Suppose to Be Physical Checking to Verify and Access.",Happy,3
206,17/02/2024,Traffic Accident Report-  without Injuries,Good,Happy,4
207,17/02/2024,Certificate of To Whom It May Concern,Vry Good Resporese and Service Keep it up,Happy,4
208,17/02/2024,Police Clearance Certificate,Great!,Happy,5
209,17/02/2024,night work permit,Full satfied,Happy,5
210,17/02/2024,Police Clearance Certificate,Thank you,Happy,5
211,17/02/2024,Police Clearance Certificate,"Good Morning Following Up with Application Number 224020084107",Happy,4
212,17/02/2024,Police Clearance Certificate,Good,Happy,4
213,17/02/2024,Police Clearance Certificate,Great Experience,Happy,5
214,17/02/2024,Police Clearance Certificate,Good,Happy,4
215,17/02/2024,Police Clearance Certificate,"It was easy to use but my goalment keep fableling don t no. Thanks",Happy,3
216,17/02/2024,Police Clearance Certificate,I love the App and the Easy Usable,Happy,5
217,17/02/2024,Police Clearance Certificate,Thanks,Happy,5
218,17/02/2024,Police Clearance Certificate,Thank you,Happy,5
219,16/02/2024,Certificate of To Whom It May Concern,It was Good Experience,Happy,4
220,16/02/2024,night work permit,Great,Happy,5
221,16/02/2024,Police Clearance Certificate,Thanks for the service,Happy,5
222,16/02/2024,Police Clearance Certificate,Best and Fastest Service.,Happy,5
223,16/02/2024,Police Clearance Certificate,Best and Fastest Serive,Happy,5
224,16/02/2024,Certificate of To Whom It May Concern,Thank you for facilitating procedures and privacy,Happy,5
225,16/02/2024,Certificate of Loss,Good,Happy,4
226,16/02/2024,Certificate of To Whom It May Concern,Thanks,Happy,5
227,16/02/2024,night work permit,This app is great and helpful aside from easy to use,Happy,5
228,16/02/2024,Police Clearance Certificate,Thanks,Happy,5
229,16/02/2024,night work permit,Vry Easy and Convenient,Happy,5
230,16/02/2024,Police Clearance Certificate,Good Services and Very Fast,Happy,5
231,16/02/2024,Police Clearance Certificate,"Thank you, dubai!",Happy,5
232,16/02/2024,Traffic clearance certificate,"Excellent and fast service, thank you",Happy,5
233,16/02/2024,night work permit,Thank you,Happy,5
234,16/02/2024,Police Clearance Certificate,Vry Efficience and Time Saving,Happy,5
235,16/02/2024,Police Clearance Certificate,Delay Payment,Unhappy,1
236,16/02/2024,Certificate of To Whom It May Concern,Good,Happy,4
237,16/02/2024,Police Clearance Certificate,Good Experience,Happy,4
238,16/02/2024,Certificate of To Whom It May Concern,No Comments,Happy,1
239,16/02/2024,Police Clearance Certificate,nice,Happy,4
240,16/02/2024,Certificate of To Whom It May Concern,Perfect Service,Happy,5
241,16/02/2024,Police Clearance Certificate,Great,Happy,5
242,16/02/2024,Certificate of To Whom It May Concern,Good Service.,Happy,4
243,16/02/2024,night work permit,Happy,Happy,5
244,16/02/2024,Police Clearance Certificate,Thans,Happy,3
245,16/02/2024,Police Clearance Certificate,Transaction is convention and the Speed ​​of the Website,Happy,5
246,16/02/2024,Police Clearance Certificate,Great,Happy,5
247,16/02/2024,Bounced Cheque Report,Thank you,Happy,5
248,16/02/2024,detainee visit request,nothing,Happy,1
249,16/02/2024,night work permit,Thank you,Happy,5
250,16/02/2024,Police Clearance Certificate,Where is the doctor i applied for?,Neutral,1
251,16/02/2024,Police Clearance Certificate,Hopefully I Will Get My Certificate Soon.,Happy,3
252,16/02/2024,Police Clearance Certificate,Thank you,Happy,5
253,16/02/2024,Certificate of Loss,Thank you so much for more service and i will have he,Happy,5
254,16/02/2024,night work permit,Super,Happy,5
255,16/02/2024,Request To Secure Patients With Critical Health / Heart Problems,"What does the phone number only accept the home phone, I see how to return if they contact the home phone",Unhappy,1
256,16/02/2024,Police Clearance Certificate,It was great and very easy to account. Thinks also to the live support assistant who help me a lot. Happy Customer,Happy,5
257,16/02/2024,Police Clearance Certificate,Great Service,Happy,5
258,16/02/2024,Certificate of To Whom It May Concern,Good Service,Happy,4
259,16/02/2024,Police Clearance Certificate,Thanks,Happy,5
260,16/02/2024,Police Clearance Certificate,The Application Was Easy to Use,Happy,4
261,16/02/2024,Police Clearance Certificate,.,Happy,3
262,16/02/2024,night work permit,Many Times My Transaction Failed,Unhappy,1
263,16/02/2024,Traffic Accident Report-  without Injuries,Thanks,Happy,5
264,16/02/2024,Police Clearance Certificate,Good,Happy,4
265,16/02/2024,Certificate of To Whom It May Concern,Happy,Happy,5
266,16/02/2024,night work permit,Thank you very much,Happy,5
267,16/02/2024,Certificate of Loss,Vry Good,Happy,4
268,16/02/2024,Police Clearance Certificate,Verry Accessible,Happy,4
269,16/02/2024,Police Clearance Certificate,Nice Application,Happy,4
270,16/02/2024,Police Clearance Certificate,"Sun Is Shining, Sky Is Blue. I love dubai",Happy,5
271,16/02/2024,Police Clearance Certificate,User Friendly Online Access.,Happy,5
272,16/02/2024,Certificate of To Whom It May Concern,Easy to this application verge,Neutral,5
273,16/02/2024,Certificate of Loss,Vry Good,Happy,4
274,16/02/2024,Police Clearance Certificate,We LL Work Dubai Port Rashid Work Fast,Happy,5
275,16/02/2024,Certificate of To Whom It May Concern,Great Dubai,Happy,5
276,16/02/2024,Certificate of To Whom It May Concern,Great Online Service,Happy,5
277,16/02/2024,night work permit,God Biless Dubai Police,Happy,5
278,16/02/2024,Certificate of Loss,Nice,Happy,4
279,16/02/2024,Police Clearance Certificate,Thanks,Happy,5
280,16/02/2024,Police Clearance Certificate,Good Services,Happy,4
281,16/02/2024,Certificate of To Whom It May Concern,Thanks,Happy,5
282,16/02/2024,Police Clearance Certificate,Easy Access. I love dubai!,Happy,5
283,16/02/2024,Police Clearance Certificate,The Mobile Interface is not User Friendly,Unhappy,2
284,16/02/2024,Police Clearance Certificate,NC,Happy,3
285,16/02/2024,Certificate of To Whom It May Concern,May God grant you success and pay your steps,Happy,5
286,16/02/2024,Certificate of To Whom It May Concern,Mama Mia,Happy,5
287,16/02/2024,Certificate of Loss,The site needs a long time to complete the process,Unhappy,3
288,16/02/2024,Police Clearance Certificate,Think,Neutral,5
289,16/02/2024,Certificate of To Whom It May Concern,Thank you all,Happy,5
290,16/02/2024,Certificate of Loss,"Excellent speed, thank you",Happy,5
291,15/02/2024,Police Clearance Certificate,Good,Happy,4
292,15/02/2024,Police Clearance Certificate,Great Service,Happy,5
293,15/02/2024,Certificate of To Whom It May Concern,All good,Happy,5
294,15/02/2024,Police Clearance Certificate,Overall Its Easy to Access and Customer Friendly,Happy,4
295,15/02/2024,Traffic Accident Report-  without Injuries,.,Happy,3
296,15/02/2024,Police Clearance Certificate,It was a nice expression use this meteod for the first time,Happy,4
297,15/02/2024,Police Clearance Certificate,"It, s hair help full",Happy,4
298,15/02/2024,Traffic Accident Report-  without Injuries,Easy to use,Happy,5
299,15/02/2024,Certificate of To Whom It May Concern,"Fast and Easy Always Available to Help",Happy,5
300,15/02/2024,Police Clearance Certificate,Payment does not go thou,Neutral,1
301,15/02/2024,Certificate of Loss,Thanks,Happy,5
302,15/02/2024,detainee visit request,Thinks for the Clear Online Information,Happy,4
303,15/02/2024,Certificate of Loss,Good,Happy,4
304,15/02/2024,Police Clearance Certificate,Great,Happy,5
305,15/02/2024,Police Clearance Certificate,Good,Happy,4
306,15/02/2024,detainee visit request,Thanks for giving me Opportunity to meat with my couousin,Happy,5
307,15/02/2024,Police Clearance Certificate,Very Fast,Happy,2
308,15/02/2024,Certificate of To Whom It May Concern,Thanks,Happy,5
309,15/02/2024,Police Clearance Certificate,Thanks,Happy,5
310,15/02/2024,Certificate of To Whom It May Concern,Good Experience,Happy,4
311,15/02/2024,Certificate of To Whom It May Concern,Good,Happy,4
312,15/02/2024,Police Clearance Certificate,Thank you Dubai Police,Happy,5
313,15/02/2024,Certificate of To Whom It May Concern,Nice Experience,Happy,4
314,15/02/2024,Police Clearance Certificate,Useful Especially for People Needs It When Outside of the Country Like Me,Happy,4
315,15/02/2024,Certificate of To Whom It May Concern,Thanks,Happy,5
316,15/02/2024,Police Clearance Certificate,It was very convention to use the website,Happy,4
317,15/02/2024,Police Clearance Certificate,Nice,Happy,4
318,15/02/2024,Certificate of To Whom It May Concern,Think about Good Service,Happy,4
319,15/02/2024,Police Clearance Certificate,Exelente,Happy,5
320,15/02/2024,Certificate of To Whom It May Concern,Okay but map is not working on mobile,Happy,3
321,15/02/2024,Police Clearance Certificate,excellent,Happy,5
322,15/02/2024,Certificate of To Whom It May Concern,Just Amazing,Happy,5
323,15/02/2024,Police Clearance Certificate,Good Service,Happy,4
324,15/02/2024,Certificate of To Whom It May Concern,Dubai Police is always helping no matter online or physically. Thankyou Dubai Police,Happy,5
325,15/02/2024,Certificate of Loss,It very convenient,Happy,5
326,15/02/2024,Police Clearance Certificate,So Expective,Happy,3
327,15/02/2024,Police Clearance Certificate,Easy and Quick,Happy,5
328,15/02/2024,Certificate of To Whom It May Concern,Great and Fast,Happy,5
329,15/02/2024,Traffic Accident Report-  without Injuries,Vry Good Service,Happy,4
330,15/02/2024,Certificate of To Whom It May Concern,Easy to use,Happy,5
331,15/02/2024,Police Clearance Certificate,All The Best,Happy,5
332,15/02/2024,Police Clearance Certificate,Great Service,Happy,5
333,15/02/2024,Certificate of Loss,Thinks for You Smart Support Easy Access.,Happy,5
334,15/02/2024,Certificate of To Whom It May Concern,I Got Vry Good Service from Dubai Police Customer Care Personnel. This is an easy steps to obtain the center.,Happy,5
335,15/02/2024,Certificate of To Whom It May Concern,Excellent Service by Dubai Police.,Happy,5
336,15/02/2024,Certificate of To Whom It May Concern,Vry Quick,Happy,5
337,15/02/2024,Certificate of To Whom It May Concern,"Thank you, Dubai, I love you Dubai",Happy,5
338,15/02/2024,Certificate of Loss,Good Service and Ease of Use,Happy,4
339,15/02/2024,Bounced Cheque Report,May Allah reward you,Happy,5
340,15/02/2024,Police Clearance Certificate,Thanks for your excellence,Happy,5
341,15/02/2024,Police Clearance Certificate,It was verd and straightforward,Happy,3
342,15/02/2024,Certificate of Loss,Vry Nice,Happy,4
343,15/02/2024,Certificate of To Whom It May Concern,Good,Happy,4
344,15/02/2024,Request for payment by instalment method of the amount of traffic violations,Happyyyyy,Happy,5
345,15/02/2024,Certificate of To Whom It May Concern,",",Neutral,4
346,15/02/2024,Police Clearance Certificate,Thanks,Happy,5
347,15/02/2024,Traffic Accident Report-  without Injuries,.,Happy,3
348,15/02/2024,Police Clearance Certificate,Vry Nice Service,Happy,5
349,15/02/2024,Certificate of To Whom It May Concern,Wonderful Service,Happy,5
350,15/02/2024,Police Clearance Certificate,Best,Happy,5
351,15/02/2024,night work permit,Gud,Happy,5
352,15/02/2024,Certificate of To Whom It May Concern,"Verry Simple, Quick and A Great Initiative Overall",Happy,5
353,15/02/2024,Police Clearance Certificate,Thank you,Happy,5
354,15/02/2024,Traffic Accident Report-  without Injuries,Thanks,Happy,5
355,15/02/2024,Certificate of To Whom It May Concern,Verry Good application very easy to use,Happy,5
356,15/02/2024,Police Clearance Certificate,Happy,Happy,5
357,15/02/2024,Police Clearance Certificate,NicW UI.,Happy,5
358,15/02/2024,night work permit,Ease to use,Happy,4
359,15/02/2024,Police Clearance Certificate,DOES Not Work on PC Only on Mobile,Neutral,1
360,15/02/2024,Police Clearance Certificate,Good,Happy,4
361,15/02/2024,Police Clearance Certificate,Good Service,Happy,4
362,15/02/2024,Police Clearance Certificate,Thank you for make best us of technology.,Happy,5
363,15/02/2024,Certificate of To Whom It May Concern,Vry Helpful,Happy,5
364,15/02/2024,Certificate of To Whom It May Concern,User Friendly,Happy,5
365,15/02/2024,Certificate of Loss,Thanks,Happy,5
366,15/02/2024,Certificate of To Whom It May Concern,Nhu,Neutral,5
367,15/02/2024,Certificate of To Whom It May Concern,Verry simple and easy to use,Happy,5
368,15/02/2024,Traffic Accident Report-  without Injuries,Thanks,Happy,5
369,15/02/2024,Traffic Accident Report-  without Injuries,Thinks for Online Service,Happy,4
370,15/02/2024,Police Clearance Certificate,Verry Impressive,Happy,5
371,15/02/2024,Certificate of Loss,SDCFVB,Happy,3
372,15/02/2024,Police Clearance Certificate,Thanks,Neutral,5
373,15/02/2024,Police Clearance Certificate,Great,Happy,5
374,15/02/2024,Police Clearance Certificate,Friendly User Great Experience Amazing,Happy,5
375,15/02/2024,Certificate of To Whom It May Concern,Great Service,Happy,5
376,15/02/2024,night work permit,Super Convenient,Happy,5
377,15/02/2024,Certificate of To Whom It May Concern,Great Service,Happy,5
378,15/02/2024,Certificate of To Whom It May Concern,"Thank you for your services and the new service. Disaster Certificate I have a note regarding the failure to write the damage to the certificate, which causes the insurance company's refusal to not mention the damage to the certificate and the customer’s return to the police station again",Happy,1
379,15/02/2024,Certificate of To Whom It May Concern,Good,Happy,4
380,15/02/2024,Certificate of To Whom It May Concern,Twimc Certificate Didn T Show Earlier and I Applied on the Wrong Twimc Inmate for My Car Damaged in Rains,Unhappy,1
381,15/02/2024,Certificate of To Whom It May Concern,Vry Convenient,Happy,4
382,15/02/2024,Police Clearance Certificate,Vry Nice,Happy,4
383,15/02/2024,Certificate of To Whom It May Concern,Good,Happy,4
384,15/02/2024,Certificate of Loss,Easy & Fast,Happy,5
385,15/02/2024,Police Clearance Certificate,"The Application Doesnt Process That Well, Plus Ts Not Clear What We Need this for",Neutral,2
386,15/02/2024,Police Clearance Certificate,Thanks,Happy,5
387,15/02/2024,Certificate of To Whom It May Concern,Vry Great Work,Happy,5
388,15/02/2024,Certificate of To Whom It May Concern,Good,Happy,4
